2019-09-16 15:14:21 status unpacked libidn2-0:amd64 2.0.5-1
2019-09-16 15:14:23 install libseccomp2:amd64 <none> 2.3.3-4
2019-09-16 15:14:23 status half-installed libseccomp2:amd64 2.3.3-4
2019-09-16 15:14:24 status unpacked libseccomp2:amd64 2.3.3-4
2019-09-16 15:14:26 install libselinux1:amd64 <none> 2.8-1+b1
2019-09-16 15:14:26 status half-installed libselinux1:amd64 2.8-1+b1
2019-09-16 15:14:28 status unpacked libselinux1:amd64 2.8-1+b1
2019-09-16 15:14:29 install libsemanage-common:all <none> 2.8-2
2019-09-16 15:14:29 status half-installed libsemanage-common:all 2.8-2
2019-09-16 15:14:30 status unpacked libsemanage-common:all 2.8-2
2019-09-16 15:14:32 install libsemanage1:amd64 <none> 2.8-2
2019-09-16 15:14:32 status half-installed libsemanage1:amd64 2.8-2
2019-09-16 15:14:34 status unpacked libsemanage1:amd64 2.8-2
2019-09-16 15:14:35 install libsepol1:amd64 <none> 2.8-1
2019-09-16 15:14:35 status half-installed libsepol1:amd64 2.8-1
2019-09-16 15:14:37 status unpacked libsepol1:amd64 2.8-1
2019-09-16 15:14:38 install libtasn1-6:amd64 <none> 4.13-3
2019-09-16 15:14:38 status half-installed libtasn1-6:amd64 4.13-3
2019-09-16 15:14:40 status unpacked libtasn1-6:amd64 4.13-3
2019-09-16 15:14:41 install libunistring2:amd64 <none> 0.9.10-1
2019-09-16 15:14:41 status half-installed libunistring2:amd64 0.9.10-1
2019-09-16 15:14:43 status unpacked libunistring2:amd64 0.9.10-1
2019-09-16 15:14:44 install libzstd1:amd64 <none> 1.3.8+dfsg-3
2019-09-16 15:14:44 status half-installed libzstd1:amd64 1.3.8+dfsg-3
2019-09-16 15:14:46 status unpacked libzstd1:amd64 1.3.8+dfsg-3
2019-09-16 15:14:48 install liblz4-1:amd64 <none> 1.8.3-1
2019-09-16 15:14:48 status half-installed liblz4-1:amd64 1.8.3-1
2019-09-16 15:14:50 status unpacked liblz4-1:amd64 1.8.3-1
2019-09-16 15:14:51 upgrade mawk:amd64 1.3.3-17+b3 1.3.3-17+b3
2019-09-16 15:14:51 status half-configured mawk:amd64 1.3.3-17+b3
2019-09-16 15:14:52 status unpacked mawk:amd64 1.3.3-17+b3
2019-09-16 15:14:52 status half-installed mawk:amd64 1.3.3-17+b3
2019-09-16 15:14:56 status unpacked mawk:amd64 1.3.3-17+b3
2019-09-16 15:14:58 install libncursesw6:amd64 <none> 6.1+20181013-2+deb10u1
2019-09-16 15:14:58 status half-installed libncursesw6:amd64 6.1+20181013-2+deb10u1
2019-09-16 15:15:00 status unpacked libncursesw6:amd64 6.1+20181013-2+deb10u1
2019-09-16 15:15:02 install libtinfo6:amd64 <none> 6.1+20181013-2+deb10u1
2019-09-16 15:15:02 status half-installed libtinfo6:amd64 6.1+20181013-2+deb10u1
2019-09-16 15:15:04 status unpacked libtinfo6:amd64 6.1+20181013-2+deb10u1
2019-09-16 15:15:06 install ncurses-base:all <none> 6.1+20181013-2+deb10u1
2019-09-16 15:15:06 status half-installed ncurses-base:all 6.1+20181013-2+deb10u1
2019-09-16 15:15:11 status unpacked ncurses-base:all 6.1+20181013-2+deb10u1
2019-09-16 15:15:13 install ncurses-bin:amd64 <none> 6.1+20181013-2+deb10u1
2019-09-16 15:15:13 status half-installed ncurses-bin:amd64 6.1+20181013-2+deb10u1
2019-09-16 15:15:17 status unpacked ncurses-bin:amd64 6.1+20181013-2+deb10u1
2019-09-16 15:15:19 install libhogweed4:amd64 <none> 3.4.1-1
2019-09-16 15:15:19 status half-installed libhogweed4:amd64 3.4.1-1
