2019-04-07 18:42:32 status unpacked gzip:i386 1.6-5+b1
2019-04-07 18:42:33 status unpacked gzip:i386 1.6-5+b1
2019-04-07 18:42:33 install hostname:i386 <none> 3.18+b1
2019-04-07 18:42:33 status half-installed hostname:i386 3.18+b1
2019-04-07 18:42:34 status unpacked hostname:i386 3.18+b1
2019-04-07 18:42:34 status unpacked hostname:i386 3.18+b1
2019-04-07 18:42:34 install init-system-helpers:all <none> 1.48
2019-04-07 18:42:34 status half-installed init-system-helpers:all 1.48
2019-04-07 18:42:35 status unpacked init-system-helpers:all 1.48
2019-04-07 18:42:35 status unpacked init-system-helpers:all 1.48
2019-04-07 18:42:35 install libcap-ng0:i386 <none> 0.7.7-3+b1
2019-04-07 18:42:35 status half-installed libcap-ng0:i386 0.7.7-3+b1
2019-04-07 18:42:36 status unpacked libcap-ng0:i386 0.7.7-3+b1
2019-04-07 18:42:36 status unpacked libcap-ng0:i386 0.7.7-3+b1
2019-04-07 18:42:37 install libgcrypt20:i386 <none> 1.7.6-2+deb9u3
2019-04-07 18:42:37 status half-installed libgcrypt20:i386 1.7.6-2+deb9u3
2019-04-07 18:42:37 status unpacked libgcrypt20:i386 1.7.6-2+deb9u3
2019-04-07 18:42:38 status unpacked libgcrypt20:i386 1.7.6-2+deb9u3
2019-04-07 18:42:38 install libgpg-error0:i386 <none> 1.26-2
2019-04-07 18:42:38 status half-installed libgpg-error0:i386 1.26-2
2019-04-07 18:42:40 status unpacked libgpg-error0:i386 1.26-2
2019-04-07 18:42:40 status unpacked libgpg-error0:i386 1.26-2
2019-04-07 18:42:41 install libselinux1:i386 <none> 2.6-3+b3
2019-04-07 18:42:41 status half-installed libselinux1:i386 2.6-3+b3
2019-04-07 18:42:42 status unpacked libselinux1:i386 2.6-3+b3
2019-04-07 18:42:43 status unpacked libselinux1:i386 2.6-3+b3
2019-04-07 18:42:43 install libsemanage-common:all <none> 2.6-2
2019-04-07 18:42:43 status half-installed libsemanage-common:all 2.6-2
2019-04-07 18:42:44 status unpacked libsemanage-common:all 2.6-2
2019-04-07 18:42:44 status unpacked libsemanage-common:all 2.6-2
